Componente,Elemento,Tipo,Texto ES,Texto EN,Ubicación en Código
MapSection.astro,Location Name,text,Nombre de ubicación desde config,Location name from config,config.map.locations[].name
MapSection.astro,Location Description,text,Descripción de ubicación desde config,Location description from config,config.map.locations[].description
MapSection.astro,Location Coordinates,text (sr-only),"Coordenadas: lat, lng","Coordinates: lat, lng",src/components/adventure/MapSection.astro:72
DownloadBrochure.astro,Download Button,aria-label,"{{buttonText}} - Se abre en una nueva pestaña. Puedes descargarlo desde ahí.","{{buttonText}} - Opens in a new tab. You can download it from there.",src/components/adventure/DownloadBrochure.astro:77
DownloadBrochure.astro,Button Text,text,Ver Folleto (o texto personalizado),Open Brochure (or custom text),config.downloadBrochure.buttonText
DownloadBrochure.astro,PDF Badge,aria-hidden,true,,src/components/adventure/DownloadBrochure.astro:82
DownloadBrochure.astro,External Link Icon,aria-hidden,true,,src/components/adventure/DownloadBrochure.astro:89
DownloadBrochure.astro,External Link Icon,focusable,false,,src/components/adventure/DownloadBrochure.astro:89
DownloadBrochure.astro,Additional Info,text,"Se abre en una nueva pestaña. Puedes descargarlo desde ahí.","Opens in a new tab. You can download it from there.",src/components/adventure/DownloadBrochure.astro:94
OtherAdventures.astro,Section Title,text,Vive más experiencias en Santa Marta,Live more experiences in Santa Marta,src/components/adventure/OtherAdventures.astro:143
OtherAdventures.astro,Section Subtitle,text,Descubre más aventuras disponibles,Discover more available adventures,src/components/adventure/OtherAdventures.astro:146
OtherAdventures.astro,Adventure Link,aria-label,"Ir a {{adventure.title}}","Go to {{adventure.title}}",src/components/adventure/OtherAdventures.astro:161
OtherAdventures.astro,Adventure Image,alt,""(vacío - decorativa),""(empty - decorative),src/components/adventure/OtherAdventures.astro:169
OtherAdventures.astro,Adventure Image,role,presentation,,src/components/adventure/OtherAdventures.astro:170
OtherAdventures.astro,Adventure Title,text,Título de la aventura desde config,Adventure title from config,config.otherAdventures.adventures[].title
MediaModal (referenced),Modal Close,aria-label,Cerrar ventana,Close window,translations.aria.modal.close
MediaModal (referenced),Audio Player,aria-label,Reproductor de audio,Audio player,translations.aria.modal.audioPlayer
MediaModal (referenced),Video Player,aria-label,Reproductor de video,Video player,translations.aria.modal.videoPlayer
MediaModal (referenced),Loading,text,Cargando contenido multimedia...,Loading multimedia content...,translations.aria.modal.loading
MapComponent (referenced),Map Container,aria-label,Mapa interactivo de ubicaciones,Interactive location map,translations.aria.map.title
MapComponent (referenced),Scroll Lock Button,aria-pressed,true/false,,Dynamic state
MapComponent (referenced),Scroll Lock Button,aria-label,"Mapa bloqueado/desbloqueado. Haz clic para activar/bloquear zoom con scroll","Map locked/unlocked. Click to enable/lock scroll zoom",translations.aria.map.locked/unlocked
MapComponent (referenced),Location Marker,aria-label,"Ubicación: {{name}}. {{description}}. Coordenadas: {{coordinates}}","Location: {{name}}. {{description}}. Coordinates: {{coordinates}}",translations.aria.map.location
MapComponent (referenced),Get Directions,aria-label,"Cómo llegar a {{name}}","How to get to {{name}}",translations.aria.map.howToGet
Screen Reader Utilities,sr-only class,visibility,Solo visible para lectores de pantalla,Only visible to screen readers,CSS utility class
